 400 = number of grid points in r
 index     r/rstar  r(au)
 356  7934.97466  1.63694912E+09
 357  7979.85138  1.64620698E+09
 358  8024.85469  1.65549094E+09
 359  8069.98458  1.66480102E+09
 360  8115.24107  1.67413722E+09
 361  8160.62415  1.68349952E+09
 362  8206.13383  1.69288794E+09
 363  8251.77009  1.70230246E+09
 364  8297.53295  1.71174323E+09
 365  8343.42239  1.72120998E+09
 366  8389.43843  1.73070285E+09
 367  8435.58106  1.74022182E+09
 368  8481.85028  1.74976704E+09
 369  8528.2461  1.75933824E+09
 370  8574.7685  1.76893555E+09
 371  8621.4175  1.7785591E+09
 372  8668.19309  1.78820864E+09
 373  8715.09527  1.79788442E+09
 374  8762.12404  1.80758618E+09
 375  8809.2794  1.81731418E+09
 376  8856.56136  1.82706816E+09
 377  8903.9699  1.83684838E+09
 378  8951.50504  1.84665459E+09
 379  8999.16677  1.85648704E+09
 380  9046.95509  1.8663456E+09
 381  9094.87  1.87623014E+09
 382  9142.91151  1.88614093E+09
 383  9191.0796  1.89607782E+09
 384  9239.37429  1.9060407E+09
 385  9287.79557  1.91602982E+09
 386  9336.34344  1.92604506E+09
 387  9385.0179  1.9360864E+09
 388  9433.81896  1.94615386E+09
 389  9482.7466  1.9562473E+09
 390  9531.80084  1.96636698E+09
 391  9580.98167  1.97651277E+09
 392  9630.28909  1.98668467E+09
 393  9679.7231  1.99688269E+09
 394  9729.2837  2.00710682E+09
 395  9778.97089  2.01735706E+09
 396  9828.78468  2.02763341E+09
 397  9878.72506  2.03793587E+09
 398  9928.79203  2.04826445E+09
 399  9978.98559  2.05861914E+09
 400  10029.3057  2.06900006E+09
