 600 = number of grid points in r
 index     r/rstar  r(au)
 325  164.809929  33999536.
 326  166.866882  34423876.
 327  168.949508  34853512.
 328  171.058126  35288512.
 329  173.193061  35728940.
 330  175.354642  36174864.
 331  177.543201  36626352.
 332  179.759075  37083476.
 333  182.002605  37546308.
 334  184.274136  38014912.
 335  186.574017  38489368.
 336  188.902603  38969744.
 337  191.260251  39456116.
 338  193.647324  39948560.
 339  196.06419  40447148.
 340  198.51122  40951960.
 341  200.988791  41463072.
 342  203.497283  41980560.
 343  206.037084  42504512.
 344  208.608583  43035000.
 345  211.212177  43572108.
 346  213.848266  44115920.
 347  216.517254  44666520.
 348  219.219554  45223992.
 349  221.955581  45788424.
 350  224.725755  46359896.
 351  227.530503  46938504.
 352  230.370257  47524332.
 353  233.245453  48117472.
 354  236.156533  48718016.
 355  239.103946  49326052.
 356  242.088145  49941680.
 357  245.109589  50564988.
 358  248.168743  51196080.
 359  251.266077  51835044.
 360  254.402069  52481984.
 361  257.5772  53137000.
 362  260.791959  53800192.
 363  264.046841  54471660.
 364  267.342346  55151504.
 365  270.678981  55839840.
 366  274.057261  56536764.
 367  277.477704  57242384.
 368  280.940836  57956812.
 369  284.447191  58680156.
 370  287.997308  59412532.
 371  291.591734  60154044.
 372  295.23102  60904812.
 373  298.915727  61664952.
 374  302.646423  62434576.
 375  306.42368  63213808.
 376  310.24808  64002764.
 377  314.120212  64801568.
 378  318.040671  65610340.
 379  322.01006  66429204.
 380  326.02899  67258296.
 381  330.09808  68097728.
 382  334.217955  68947640.
 383  338.389249  69808160.
 384  342.612604  70679416.
 385  346.888669  71561552.
 386  351.218103  72454688.
 387  355.601572  73358984.
 388  360.03975  74274560.
 389  364.533319  75201560.
 390  369.082972  76140136.
 391  373.689408  77090416.
 392  378.353336  78052568.
 393  383.075473  79026720.
 394  387.856546  80013032.
 395  392.69729  81011656.
 396  397.598451  82022744.
 397  402.560781  83046448.
 398  407.585046  84082936.
 399  412.672017  85132352.
 400  417.822477  86194872.
 401  423.037219  87270648.
 402  428.317045  88359848.
 403  433.662767  89462648.
 404  439.075208  90579208.
 405  444.5552  91709712.
 406  450.103587  92854312.
 407  455.721221  94013208.
 408  461.408969  95186568.
 409  467.167703  96374568.
 410  472.998311  97577392.
 411  478.901689  98795232.
 412  484.878746  100028272.
 413  490.930401  101276704.
 414  497.057586  102540712.
 415  503.261242  103820496.
 416  509.542325  105116256.
 417  515.9018  106428184.
 418  522.340646  107756488.
 419  528.859854  109101376.
 420  535.460427  110463040.
 421  542.14338  111841704.
 422  548.909741  113237576.
 423  555.760552  114650864.
 424  562.696866  116081792.
 425  569.71975  117530584.
 426  576.830286  118997456.
 427  584.029566  120482632.
 428  591.318698  121986352.
 429  598.698805  123508832.
 430  606.171021  125050312.
 431  613.736496  126611040.
 432  621.396394  128191240.
 433  629.151893  129791160.
 434  637.004186  131411056.
 435  644.954482  133051168.
 436  653.004004  134711744.
 437  661.153991  136393056.
 438  669.405695  138095344.
 439  677.760386  139818880.
 440  686.219351  141563920.
 441  694.78389  143330752.
 442  703.45532  145119616.
 443  712.234977  146930832.
 444  721.124211  148764640.
 445  730.124389  150621328.
 446  739.236896  152501200.
 447  748.463134  154404528.
 448  757.804523  156331616.
 449  767.262499  158282752.
 450  776.838518  160258240.
 451  786.534053  162258384.
 452  796.350595  164283488.
 453  806.289656  166333872.
 454  816.352763  168409856.
 455  826.541466  170511728.
 456  836.857331  172639840.
 457  847.301946  174794528.
 458  857.876918  176976096.
 459  868.583874  179184896.
 460  879.424461  181421248.
 461  890.400346  183685520.
 462  901.513219  185978064.
 463  912.764789  188299216.
 464  924.156787  190649328.
 465  935.690966  193028768.
 466  947.3691  195437920.
 467  959.192986  197877136.
 468  971.164443  200346800.
 469  983.285313  202847280.
 470  995.557461  205378960.
 471  1007.98277  207942240.
 472  1020.56317  210537520.
 473  1033.30057  213165184.
 474  1046.19695  215825648.
 475  1059.25428  218519328.
 476  1072.47458  221246608.
 477  1085.85987  224007936.
 478  1099.41223  226803728.
 479  1113.13373  229634400.
 480  1127.02648  232500416.
 481  1141.09263  235402208.
 482  1155.33433  238340208.
 483  1169.75378  241314864.
 484  1184.3532  244326656.
 485  1199.13483  247376048.
 486  1214.10094  250463488.
 487  1229.25384  253589456.
 488  1244.59587  256754448.
 489  1260.12937  259958944.
 490  1275.85674  263203424.
 491  1291.7804  266488400.
 492  1307.9028  269814368.
 493  1324.22642  273181856.
 494  1340.75377  276591392.
 495  1357.4874  280043456.
 496  1374.42987  283538624.
 497  1391.5838  287077376.
 498  1408.95183  290660320.
 499  1426.53662  294288000.
 500  1444.34088  297960928.
 501  1462.36735  301679712.
 502  1480.6188  305444896.
 503  1499.09805  309257088.
 504  1517.80793  313116864.
 505  1536.75133  317024800.
 506  1555.93115  320981504.
 507  1575.35036  324987584.
 508  1595.01193  329043680.
 509  1614.91889  333150400.
 510  1635.0743  337308352.
 511  1655.48127  341518240.
 512  1676.14293  345780640.
 513  1697.06247  350096256.
 514  1718.2431  354465696.
 515  1739.68808  358889696.
 516  1761.40071  363368928.
 517  1783.38433  367904032.
 518  1805.64232  372495776.
 519  1828.17811  377144800.
 520  1850.99516  381851840.
 521  1874.09698  386617664.
 522  1897.48714  391442944.
 523  1921.16922  396328448.
 524  1945.14687  401274912.
 525  1969.42378  406283136.
