#######################
   XBIN   YBIN   VEL
    4.8    5.6   33.6
   -5.6    4.0  212.0
   -4.0    5.6  222.7
    0.0   -8.0  -97.4
    8.0   -0.8  -96.1
    8.0    0.0  -83.7
   -7.2   -0.4  123.0
    0.0    7.2  127.8
   -0.8   -8.0  -81.7
   -3.2   -7.2  -38.4
    8.0   -1.6 -111.8
    8.0    0.8  -68.9
    7.2    3.2  -21.9
   -6.4   -4.0   48.0
    4.0    6.4   49.3
    1.6    7.2   99.4
   -0.8    7.2  146.8
   -3.2    6.4  200.2
   -6.4    3.2  187.3
    8.0    1.6  -54.9
   -1.6   -8.0  -70.7
    2.4    7.2   82.3
   -7.2   -2.8   70.6
   -7.2    2.0  156.3
   -1.6    7.2  165.6
   -4.8   -6.4   -0.6
   -6.0   -5.6   21.0
    6.4    5.2   22.3
    5.6    6.0   48.0
   -4.8    5.6  232.6
   -5.6    4.8  222.6
    7.2   -4.8 -171.7
   -2.4   -8.0  -51.6
    8.0    2.8  -30.1
    7.2    4.4  -14.6
   -4.4   -7.2   -8.6
    4.8    6.8   44.4
    3.6    7.2   67.4
   -6.8   -4.8   40.0
   -2.4    7.2  171.9
   -4.0    6.4  216.3
   -6.4    4.0  201.9
    8.0   -4.0 -146.5
    8.8   -0.8  -86.9
    8.8    0.4  -73.6
    0.8   -8.8 -118.0
    0.0   -8.8  -98.8
    6.4   -6.4 -181.1
    8.8   -1.6 -102.3
   -3.6   -8.0  -38.3
    1.6   -8.8 -124.1
   -0.8   -8.8  -81.6
    7.2   -5.6 -174.7
    5.6   -7.2 -183.7
   -7.5   -4.0   57.2
   -5.6   -6.8    6.4
    2.4   -8.8 -137.5
   -8.2   -1.1  111.7
   -8.0    0.4  137.9
   -2.0   -8.8  -59.5
    8.8   -2.8 -131.7
   -7.2    3.6  200.2
    0.4    8.0  128.5
   -3.6    7.2  201.5
    1.6    8.0  106.6
    8.8    2.0  -53.1
   -0.8    8.0  148.7
   -5.6    5.6  229.2
    4.8   -8.0 -182.9
    8.0   -4.8 -162.0
   -6.8    4.8  218.6
   -4.8    6.4  218.0
